Bank_Balance,Investment_Amount,Expenses,Transactions,Company_Name,Successful_Investment,Failed_Investment
827272,235355,481990,90,Wipro,1,0
1511373,386834,123798,2,Wipro,1,0
1492388,128875,48420,6,Reliance,1,0
660990,499455,327466,26,Maruti,1,0
1625024,242558,19207,91,Maruti,1,0
313330,302075,474857,47,HUL,0,1
563703,210085,178646,36,HUL,1,0
1493642,351271,390043,79,SBI,1,0
1041252,384832,400730,22,Maruti,1,0
1795847,54998,431277,64,Infosys,1,0
1624197,119468,107491,57,HDFC,1,0
1727762,210717,348404,64,Wipro,1,0
1085395,365268,289057,65,Reliance,1,0
423893,219906,392958,83,Infosys,1,0
1035199,150707,209649,60,HUL,1,0
115990,355488,330855,62,Bajaj,0,1
1997158,424804,143481,82,Infosys,1,0
819314,211837,317022,97,Bajaj,1,0
620278,456430,424387,63,HUL,1,0
387875,63500,401815,46,Reliance,0,1
1326059,387584,293298,65,Bajaj,1,0
1572456,18975,213077,42,HUL,1,0
1823907,217189,72816,68,HUL,1,0
819998,305863,242896,64,Maruti,1,0
946651,329862,228953,31,SBI,1,0
368976,244458,455932,35,Bajaj,0,1
1661899,336034,295242,79,Maruti,1,0
912601,245529,250201,55,Bajaj,1,0
354027,264555,311596,75,HUL,1,0
1660822,269676,303720,59,Reliance,1,0
722207,413276,50958,29,Infosys,1,0
1523443,413197,328568,92,TCS,1,0
468271,476920,279860,45,Maruti,0,1
1263473,493658,37608,87,TCS,1,0
1643459,92011,177547,97,Infosys,1,0
1704736,466421,15509,8,Maruti,1,0
476504,387812,187459,97,Bajaj,1,0
1144341,27579,260826,34,SBI,1,0
1638887,173080,282339,26,HUL,1,0
397146,200665,426411,31,Maruti,0,1
1091780,176499,415603,8,Reliance,1,0
1925334,267902,54345,86,HDFC,1,0
1869175,106479,107196,89,Maruti,1,0
1531891,143540,240000,2,HUL,1,0
923778,379076,23305,34,HUL,1,0
760336,2829,170382,52,TCS,1,0
14937,487125,300112,86,TCS,0,1
1659842,377584,109308,36,HUL,1,0
1333501,447459,190213,82,TCS,1,0
1552979,455441,285898,42,SBI,1,0
831849,70880,203670,5,Maruti,1,0
1257342,424700,118980,60,TCS,1,0
1854975,79150,56419,68,TCS,1,0
947807,305682,90225,76,Bajaj,1,0
1311263,285155,301750,78,HDFC,1,0
979703,273183,389615,20,HUL,1,0
757400,232506,103338,21,Bajaj,1,0
520876,168427,267643,76,ICICI,1,0
491780,57436,422032,12,SBI,1,0
1128657,350457,330404,19,TCS,1,0
1840103,245967,55310,45,HDFC,1,0
1827297,37558,96924,8,HUL,1,0
30853,36522,397026,98,ICICI,0,1
134421,149899,345207,36,TCS,0,1
1665293,431838,161957,83,TCS,1,0
1070719,401642,23690,52,Maruti,1,0
1488081,328529,123396,69,TCS,1,0
1564267,363483,372542,10,Wipro,1,0
180576,281094,338313,50,Bajaj,0,1
1091316,149815,301115,53,Infosys,1,0
722827,240210,282411,23,HUL,1,0
1109485,43988,59886,62,Infosys,1,0
1753355,417619,56895,39,ICICI,1,0
70225,307769,165374,62,SBI,0,1
392251,455538,218163,95,HUL,0,1
1001445,207479,253222,40,TCS,1,0
387258,8955,139500,16,HDFC,1,0
598498,183600,410890,7,TCS,1,0
1433261,49086,103011,54,Infosys,1,0
883973,325661,201268,80,Bajaj,1,0
1900864,415445,461884,25,ICICI,1,0
1620281,455235,327095,52,SBI,1,0
1559239,430407,287487,71,HDFC,1,0
1917338,468036,82837,23,Bajaj,1,0
324426,93643,156007,85,Infosys,1,0
1075106,285820,354517,45,Bajaj,1,0
1242144,251093,134390,10,ICICI,1,0
824199,382412,163599,74,SBI,1,0
1970850,265586,131963,42,Maruti,1,0
1637611,305989,10976,35,Maruti,1,0
1143462,480014,46670,60,Wipro,1,0
736547,434381,190946,35,ICICI,1,0
137398,196363,214555,65,Wipro,0,1
252733,315603,472643,79,Infosys,0,1
1177453,64223,333080,72,Wipro,1,0
1085091,62993,103798,20,Reliance,1,0
16488,158384,79933,65,Infosys,0,1
714507,267410,492715,100,HUL,1,0
1179063,400879,380767,73,TCS,1,0
1253357,170471,12367,1,Reliance,1,0
1534475,448946,89618,37,SBI,1,0
412696,207156,476396,18,SBI,0,1
1518652,26877,347516,11,Infosys,1,0
1231664,321425,339978,25,Reliance,1,0
984577,274870,109364,84,HDFC,1,0
1268948,439990,400556,55,HUL,1,0
1619672,457113,421022,68,HUL,1,0
758759,499733,45286,62,SBI,1,0
167922,398221,370641,67,SBI,0,1
298329,320029,456769,61,Maruti,0,1
1187446,246426,256999,99,Bajaj,1,0
349760,141108,487534,81,Reliance,0,1
991296,363167,278066,83,ICICI,1,0
1958744,137766,426145,71,HUL,1,0
589262,9912,235479,96,TCS,1,0
261315,262521,100674,72,TCS,0,1
901044,42972,252565,78,HUL,1,0
742043,487263,309921,14,Bajaj,1,0
109687,207911,118673,96,Wipro,0,1
378085,392626,254345,71,Maruti,0,1
1575931,97685,492888,45,Bajaj,1,0
1879388,254091,27799,57,SBI,1,0
648923,295063,456048,24,TCS,1,0
935696,207478,400165,82,Reliance,1,0
1941498,111937,231837,67,Bajaj,1,0
1948052,147278,13203,93,Wipro,1,0
397434,380685,188387,4,Reliance,1,0
1542905,16341,401827,42,HUL,1,0
1432868,228652,255645,82,Bajaj,1,0
1721922,201283,28791,69,HDFC,1,0
1196054,22279,483449,7,SBI,1,0
616335,395864,276779,65,Bajaj,1,0
1929959,497692,251085,77,ICICI,1,0
728869,224189,285107,4,SBI,1,0
196602,161422,140533,93,Infosys,1,0
1970153,113248,184997,83,HDFC,1,0
86759,145108,82484,41,Infosys,0,1
713549,473098,474726,81,Bajaj,1,0
1460006,211047,229066,52,TCS,1,0
776227,181223,50404,43,Reliance,1,0
1434098,366716,289456,100,Wipro,1,0
1781546,105900,402887,65,Bajaj,1,0
1624881,203101,242387,21,SBI,1,0
1892033,431531,87065,80,TCS,1,0
921173,378251,47192,97,SBI,1,0
1101091,251529,49070,3,TCS,1,0
499380,113371,137078,27,Wipro,1,0
1028777,390602,294551,94,HDFC,1,0
455056,324933,291754,63,Reliance,1,0
108533,499761,288187,11,SBI,0,1
1828436,305233,138013,26,Maruti,1,0
253899,253763,442310,53,TCS,0,1
1435136,330728,292422,98,Reliance,1,0
1552933,180719,176146,80,TCS,1,0
1587529,456024,363964,4,HDFC,1,0
274975,288131,442138,27,Bajaj,0,1
414621,299497,8949,9,HDFC,1,0
591309,489469,284437,84,HUL,1,0
1315795,263080,313034,34,Wipro,1,0
1984380,46497,202013,69,HUL,1,0
1123740,182510,162123,26,Maruti,1,0
1912883,277979,118315,27,ICICI,1,0
1023151,165702,317012,47,Infosys,1,0
1308729,330558,262467,52,ICICI,1,0
1655115,418920,89682,62,TCS,1,0
80722,139026,245543,62,Infosys,0,1
1912772,377899,330947,55,ICICI,1,0
1405023,56557,57582,38,HUL,1,0
397331,359858,430413,60,HDFC,0,1
249253,450004,369965,9,Maruti,0,1
544040,465917,159224,84,Reliance,1,0
574440,412547,219371,4,HUL,1,0
644501,186362,222542,85,SBI,1,0
1133703,195554,167252,1,Maruti,1,0
278439,449450,196286,83,Wipro,0,1
290290,455455,478695,55,Bajaj,0,1
1403874,326865,454247,76,Maruti,1,0
697649,222747,334552,99,HUL,1,0
1330361,392449,70036,50,HUL,1,0
1738519,264786,422755,63,Bajaj,1,0
727580,5843,121065,55,HDFC,1,0
1058091,197326,205534,95,Wipro,1,0
275018,300689,253792,21,HUL,0,1
1049094,247365,429599,90,Reliance,1,0
55518,7700,208150,90,Reliance,0,1
1560009,102000,77440,39,Infosys,1,0
356119,321515,432439,86,Reliance,0,1
147321,190790,385094,19,TCS,0,1
88323,64848,446910,21,SBI,0,1
1796654,1889,82961,47,Maruti,1,0
1512012,180931,190214,93,Reliance,1,0
276561,7784,167177,64,TCS,1,0
1208688,182991,72530,6,HDFC,1,0
350577,416204,317382,36,Bajaj,0,1
1226650,479542,267453,45,HUL,1,0
1365200,245782,13691,97,Infosys,1,0
723110,111120,194262,80,Maruti,1,0
1442659,379909,344681,66,ICICI,1,0
856421,420485,243661,65,SBI,1,0
1696008,42565,413908,31,Infosys,1,0
241826,478910,461536,52,SBI,0,1
1996693,249906,94161,7,Reliance,1,0
227547,75396,116578,97,Wipro,1,0
413469,302165,394722,75,Infosys,1,0
948940,305190,349957,32,Bajaj,1,0
1275999,103315,332876,99,Maruti,1,0
176503,173041,435031,81,Reliance,0,1
1015219,59965,279777,40,Bajaj,1,0
635934,273698,4533,18,HUL,1,0
1364610,276182,356827,59,SBI,1,0
1442016,227147,2723,78,HDFC,1,0
1582579,239215,199571,80,SBI,1,0
933040,276471,94467,63,Reliance,1,0
1733589,30270,20664,96,TCS,1,0
1784322,270624,32600,73,Maruti,1,0
1348123,33292,83944,86,Bajaj,1,0
664294,302851,201607,41,HUL,1,0
1241434,137297,37341,77,Bajaj,1,0
894287,494538,416167,89,SBI,1,0
1727611,486349,54684,17,Maruti,1,0
526577,89739,280451,85,Reliance,1,0
590761,323641,418781,63,HDFC,1,0
257972,78226,53586,14,TCS,1,0
414354,1140,371137,78,SBI,1,0
1830505,46394,43616,87,TCS,1,0
646522,152757,279687,63,ICICI,1,0
1586129,466074,162506,42,Bajaj,1,0
886266,61717,147839,68,ICICI,1,0
898049,96344,494352,94,HDFC,1,0
1889847,219140,147250,2,Reliance,1,0
326555,287035,71552,34,HUL,1,0
908587,361975,31657,69,Reliance,1,0
1129701,20708,9851,62,HUL,1,0
283650,73969,276715,100,Reliance,1,0
692768,23106,381351,83,Reliance,1,0
109546,446215,498055,70,Reliance,0,1
1643245,233848,142895,94,SBI,1,0
526115,474923,119744,73,Infosys,1,0
378774,257383,169722,11,Maruti,1,0
469181,50342,236389,68,Wipro,1,0
777379,247197,33780,51,Reliance,1,0
1562742,193804,112235,23,Maruti,1,0
886490,386310,313017,46,Maruti,1,0
203790,3012,4198,38,HUL,1,0
771119,415726,411068,98,Bajaj,1,0
877799,453268,132403,16,Reliance,1,0
1836248,86252,295127,99,Wipro,1,0
737130,361797,389082,67,Bajaj,1,0
692632,16215,81419,70,Maruti,1,0
626152,111524,415638,62,Wipro,1,0
1482953,284815,120860,72,Reliance,1,0
158542,203739,483247,57,Infosys,0,1
857663,124257,106681,47,TCS,1,0
1400091,101947,36258,22,Reliance,1,0
1824452,422671,149041,92,Bajaj,1,0
1179131,102236,143976,37,Maruti,1,0
1416121,317704,5155,61,HDFC,1,0
1719476,350046,300251,14,ICICI,1,0
146290,165917,312493,41,ICICI,0,1
1287890,401100,272874,18,Maruti,1,0
703891,69516,89488,68,Infosys,1,0
137514,142918,181144,83,TCS,0,1
1846038,476148,278157,98,SBI,1,0
1101591,86296,416394,66,Reliance,1,0
1272383,114546,250755,72,Bajaj,1,0
911911,326020,406819,18,HUL,1,0
45458,75878,415056,53,Reliance,0,1
1814378,192054,71805,18,Wipro,1,0
296277,236415,246842,52,SBI,1,0
732231,444335,160239,43,HDFC,1,0
345322,451016,213392,10,HDFC,0,1
505598,8243,265216,48,Reliance,1,0
1311935,284513,166574,8,Reliance,1,0
176657,31519,358107,75,Infosys,0,1
1249253,125610,23079,57,Bajaj,1,0
1356524,93489,260529,59,ICICI,1,0
784815,412886,461125,92,SBI,1,0
759051,362126,376527,99,ICICI,1,0
1033390,159358,360616,19,Bajaj,1,0
1201020,498262,73817,48,Bajaj,1,0
351850,470181,349283,64,HUL,0,1
410932,277361,79746,70,HUL,1,0
1566553,488543,419920,24,TCS,1,0
1979567,179027,312130,2,ICICI,1,0
1692792,447050,208513,9,TCS,1,0
129069,21820,374617,18,ICICI,0,1
1113798,327208,312333,16,Reliance,1,0
434097,21585,389686,94,ICICI,1,0
735348,484289,111681,88,HDFC,1,0
1296385,247964,192074,77,Maruti,1,0
1079355,379146,292936,48,Maruti,1,0
650565,332613,471569,10,Wipro,1,0
1697209,186777,194846,23,HUL,1,0
1959831,144846,445017,79,HUL,1,0
396375,177668,77605,66,HDFC,1,0
1431021,388701,162575,21,HUL,1,0
1859118,70646,200097,1,Infosys,1,0
955918,284383,414996,28,ICICI,1,0
1218007,404779,190406,83,ICICI,1,0
193818,491711,382467,39,Infosys,0,1
202101,123913,94586,55,Wipro,1,0
379645,398384,88072,18,HDFC,0,1
319809,95133,457609,92,Bajaj,0,1
378789,46816,323391,90,ICICI,1,0
753369,196354,498207,43,TCS,1,0
233496,42562,30374,90,Reliance,1,0
1063981,129937,433096,76,Infosys,1,0
803553,462723,239564,66,Reliance,1,0
455706,461618,273874,100,TCS,0,1
1076699,490038,292565,76,Maruti,1,0
1796752,330015,158691,80,Bajaj,1,0
209019,167048,130068,95,Maruti,1,0
898790,294077,312835,5,HDFC,1,0
1686233,315320,123758,28,HDFC,1,0
1643894,21560,99785,71,Infosys,1,0
803445,244603,351583,11,Reliance,1,0
37240,132582,107681,49,Wipro,0,1
1055905,160837,169019,19,Wipro,1,0
1449848,149819,199243,82,TCS,1,0
1622868,303571,44797,14,Maruti,1,0
1948473,59946,68091,95,SBI,1,0
1082690,359827,431782,31,SBI,1,0
1156813,469471,229424,69,Reliance,1,0
572174,402420,191859,73,SBI,1,0
408009,364637,487667,84,Bajaj,0,1
22801,454748,465993,62,HDFC,0,1
708948,4434,171624,50,Bajaj,1,0
500860,351828,376499,95,SBI,1,0
1743807,195417,226678,18,ICICI,1,0
939640,468187,152792,30,Bajaj,1,0
453686,46952,398761,76,Maruti,1,0
611736,19583,36360,38,Bajaj,1,0
20684,245673,204605,49,HDFC,0,1
1478062,470588,318677,39,ICICI,1,0
599990,444387,217648,55,TCS,1,0
1501786,443617,325240,80,SBI,1,0
513937,447906,293300,90,Reliance,1,0
1748882,31979,442427,68,Bajaj,1,0
1695842,495923,414217,81,HDFC,1,0
340853,449482,104855,14,SBI,0,1
754684,254089,273935,68,Wipro,1,0
1587161,14999,115753,14,Wipro,1,0
315317,167968,135054,85,SBI,1,0
761372,123449,74705,72,Wipro,1,0
911102,383082,422289,94,Maruti,1,0
28012,167749,160744,27,Wipro,0,1
924634,139412,63597,83,Reliance,1,0
1868115,461351,326097,66,Wipro,1,0
634146,78257,43130,73,HUL,1,0
1249231,271390,269400,81,Maruti,1,0
96003,230833,263694,41,Maruti,0,1
76149,322949,479763,77,TCS,0,1
309789,321467,23844,17,Wipro,0,1
1408874,51965,260474,89,Reliance,1,0
83485,339365,398663,6,SBI,0,1
1854137,134874,498415,56,Reliance,1,0
1967876,308090,424208,92,Reliance,1,0
1959513,483158,128432,93,Bajaj,1,0
649717,213458,69613,77,TCS,1,0
1199177,75375,379901,10,Wipro,1,0
1215193,19185,233207,9,Maruti,1,0
395155,67500,128038,100,Reliance,1,0
668646,77792,255711,47,TCS,1,0
1498587,302184,330500,82,Bajaj,1,0
1813141,299728,175370,19,Bajaj,1,0
558596,33550,57823,41,SBI,1,0
1379322,16485,213215,33,Infosys,1,0
313004,146906,392991,23,ICICI,0,1
174659,459795,252565,10,SBI,0,1
194813,435029,212506,59,Reliance,0,1
1350613,261408,261687,33,HDFC,1,0
1215218,318231,322594,39,ICICI,1,0
83523,246876,194608,5,HUL,0,1
1898981,462489,80190,59,Infosys,1,0
1321759,156002,355637,83,Wipro,1,0
109768,189124,161527,22,Bajaj,0,1
76961,58944,149815,2,HDFC,0,1
992739,176307,72848,50,TCS,1,0
1120547,481932,311672,100,TCS,1,0
1927161,253302,442378,35,Maruti,1,0
293289,99764,305187,55,Infosys,0,1
1163261,358141,311793,62,Wipro,1,0
1921320,406536,333645,65,Bajaj,1,0
1736252,379161,168139,41,SBI,1,0
539191,429307,64876,31,HUL,1,0
184455,143321,314863,67,Infosys,0,1
277701,269256,132643,24,Maruti,1,0
1744413,115910,255249,50,Wipro,1,0
895973,474448,446716,52,Maruti,1,0
1724939,364046,285073,95,HDFC,1,0
493068,187152,81588,47,Wipro,1,0
529948,365369,140565,33,Maruti,1,0
817681,279396,16054,40,Wipro,1,0
1861618,98390,342245,82,Infosys,1,0
304663,200430,274147,68,Bajaj,1,0
791524,56525,414305,24,TCS,1,0
1213272,230268,28205,26,Bajaj,1,0
169970,212175,247222,28,HUL,0,1
748255,61244,278810,55,Reliance,1,0
42159,271094,166869,25,Wipro,0,1
559419,416184,4551,12,Reliance,1,0
485638,338455,388006,74,Maruti,1,0
775270,184066,12433,97,Reliance,1,0
1584805,15314,481295,81,Reliance,1,0
642004,378532,422905,4,HDFC,1,0
1936649,222627,168894,49,Infosys,1,0
1096413,120917,452946,76,Bajaj,1,0
639876,235271,478571,2,Wipro,1,0
357924,45260,484976,64,ICICI,0,1
418258,250154,302614,13,Infosys,1,0
243383,482098,479974,5,Wipro,0,1
1506648,271288,334776,52,TCS,1,0
36957,401712,41682,77,Bajaj,0,1
114812,245713,489216,21,HUL,0,1
21730,488884,348336,39,Infosys,0,1
1450612,484750,462824,95,Wipro,1,0
807285,245793,406996,87,Wipro,1,0
1731006,79635,259404,67,Wipro,1,0
1652354,97518,21111,6,ICICI,1,0
988595,174223,9897,9,HDFC,1,0
749449,449742,233654,59,Infosys,1,0
914248,440979,199594,27,Reliance,1,0
545265,384335,493134,24,Wipro,1,0
639311,70642,137573,35,ICICI,1,0
1985490,404920,49252,61,Reliance,1,0
1520810,336258,110808,82,Infosys,1,0
496050,274282,307082,97,TCS,1,0
1683240,144937,260282,3,HUL,1,0
1635558,374017,330858,43,Reliance,1,0
1795927,281034,41968,41,HUL,1,0
540407,333831,295617,63,Reliance,1,0
1771783,66397,171236,67,TCS,1,0
856529,51913,382987,68,Maruti,1,0
1969862,12790,346582,2,HUL,1,0
376338,186228,235310,48,Infosys,1,0
1013167,436574,449154,47,TCS,1,0
1141620,333237,201760,39,ICICI,1,0
1726030,126962,249603,58,Reliance,1,0
1000515,491759,238328,38,Wipro,1,0
1511508,117211,203171,13,Infosys,1,0
1697207,469828,63715,52,Infosys,1,0
1463733,49642,285518,67,Bajaj,1,0
24660,209074,164695,3,Wipro,0,1
1189196,331362,252288,15,Wipro,1,0
1031840,31230,186105,7,Maruti,1,0
492103,185258,497094,39,HUL,0,1
1195737,130398,179444,31,TCS,1,0
990469,128169,200186,19,HDFC,1,0
224748,188622,218946,89,Maruti,1,0
1735997,322933,354011,48,HDFC,1,0
444377,363351,34347,18,Maruti,1,0
846938,70179,129184,62,ICICI,1,0
1882280,339779,8890,56,ICICI,1,0
1042602,352311,403099,1,HDFC,1,0
646583,161967,399385,71,Infosys,1,0
1490634,177709,442308,86,Infosys,1,0
51116,438449,483032,63,Maruti,0,1
1636570,87258,237308,96,HDFC,1,0
452484,75649,463674,40,ICICI,0,1
568696,134602,270473,68,HUL,1,0
42301,370605,49218,38,Maruti,0,1
1854791,456702,323721,41,Infosys,1,0
352741,386258,369251,67,Maruti,0,1
1540028,9067,238041,66,Reliance,1,0
1483307,223500,186220,51,TCS,1,0
919511,236711,386794,87,HUL,1,0
1347679,154633,70583,86,Reliance,1,0
1918113,485111,257051,54,Reliance,1,0
1104313,266328,455534,7,SBI,1,0
532304,27205,221029,91,SBI,1,0
1421093,148349,40964,26,Infosys,1,0
1544109,269590,408319,46,TCS,1,0
791910,402554,46587,26,ICICI,1,0
1891444,16633,181162,97,HDFC,1,0
163572,204624,481185,69,HDFC,0,1
1485878,204524,30528,37,HUL,1,0
430812,13511,280030,84,ICICI,1,0
37804,492047,483311,94,Maruti,0,1
355580,107761,260177,77,HDFC,1,0
1893322,458244,225511,97,Infosys,1,0
784105,58448,292415,6,Maruti,1,0
346075,411618,199102,12,HDFC,0,1
888489,269397,244266,88,Bajaj,1,0
1325577,381923,250350,34,Reliance,1,0
1911125,290896,283853,21,Maruti,1,0
47706,224609,497755,94,HUL,0,1
642791,103240,492875,65,HDFC,1,0
1371741,94857,332789,55,TCS,1,0
1350644,485047,447459,61,TCS,1,0
996959,358327,92479,37,SBI,1,0
671152,284739,90515,38,Reliance,1,0
332161,496388,261343,1,ICICI,0,1
1866318,113281,161906,49,Reliance,1,0
1602787,211447,285014,58,HDFC,1,0
1465180,300355,110473,22,Bajaj,1,0
627803,12152,68859,46,HDFC,1,0
1490680,375527,190697,55,HUL,1,0
1785491,143824,216540,35,Maruti,1,0
1478653,71184,147925,49,Bajaj,1,0
219417,366508,289062,53,Wipro,0,1
302414,435208,135149,64,Infosys,0,1
94695,193578,43232,57,HDFC,0,1
1516661,391447,114387,7,ICICI,1,0
643147,431920,134455,86,Reliance,1,0
1095276,376529,468715,32,Reliance,1,0
1270299,491226,46109,30,Bajaj,1,0
1778872,222702,213419,27,Bajaj,1,0
1050790,257942,61271,64,TCS,1,0
1024211,76809,229333,44,ICICI,1,0
1433246,290904,376190,100,Wipro,1,0
1618118,307136,154406,75,Infosys,1,0
1148324,280634,165446,31,SBI,1,0
496972,46304,66409,63,HUL,1,0
1196998,333722,70936,13,ICICI,1,0
1370930,191075,359968,43,Bajaj,1,0
1270104,255592,246856,66,Wipro,1,0
1630437,294757,222750,54,Infosys,1,0
1181745,54297,149762,74,TCS,1,0
1085986,274209,439645,16,ICICI,1,0
1652625,3795,204587,55,HDFC,1,0
1307829,155473,245133,44,Reliance,1,0
604704,194430,365966,56,Wipro,1,0
19808,313330,139863,83,HDFC,0,1
796446,429783,29624,65,HDFC,1,0
296077,141996,103664,91,Infosys,1,0
134217,430385,243359,33,SBI,0,1
1806799,179392,54992,51,Wipro,1,0
188431,67539,217922,46,HUL,0,1
1245603,376926,237843,81,Wipro,1,0
1500065,162523,90020,3,TCS,1,0
274400,222794,230664,63,Reliance,1,0
1346767,178752,471764,69,ICICI,1,0
1984800,401323,149702,49,Bajaj,1,0
585128,309811,272031,29,HUL,1,0
224587,234480,180203,98,Wipro,0,1
1130087,251497,18438,73,HDFC,1,0
1380259,122740,470284,72,HUL,1,0
566969,27679,399256,28,HDFC,1,0
1389279,453565,130283,13,SBI,1,0
440861,318964,400567,33,SBI,1,0
1542272,12353,412716,40,Wipro,1,0
1523014,141927,300238,65,HDFC,1,0
1555889,210738,199082,92,Wipro,1,0
459486,72663,444448,19,TCS,1,0
1414923,360947,78319,91,Reliance,1,0
266395,152221,262788,94,Bajaj,1,0
18890,78110,196956,3,Maruti,0,1
792334,366664,419752,30,ICICI,1,0
1924582,30842,33786,47,SBI,1,0
397293,402669,459987,95,ICICI,0,1
1192012,160303,69086,37,Infosys,1,0
1496941,319933,182500,21,Infosys,1,0
649627,329953,203867,71,SBI,1,0
1455967,280005,491336,98,HDFC,1,0
1812506,190506,271132,48,TCS,1,0
1624026,278177,51370,63,TCS,1,0
1402121,383753,35738,75,Bajaj,1,0
1613428,123783,69472,44,Wipro,1,0
282848,426304,44669,27,HDFC,0,1
788257,10766,178321,53,Bajaj,1,0
799782,48746,161219,54,Maruti,1,0
59764,320871,392605,51,Maruti,0,1
927973,73493,115074,21,Maruti,1,0
443146,144912,169944,22,Infosys,1,0
1681991,117778,284310,53,Infosys,1,0
1118832,373018,441995,70,HDFC,1,0
1161494,145984,69357,61,Bajaj,1,0
88050,99381,345246,41,HUL,0,1
1620482,130370,109299,34,Wipro,1,0
1779894,187218,152246,69,Bajaj,1,0
1904021,250564,327507,22,Reliance,1,0
1777845,419758,427500,86,ICICI,1,0
341232,18027,151670,88,SBI,1,0
1783649,442404,23007,14,Maruti,1,0
1736337,300534,296705,49,HDFC,1,0
607448,82457,446146,99,ICICI,1,0
528509,305013,322428,24,SBI,1,0
85509,80764,417022,38,Bajaj,0,1
1772481,270906,73201,54,Maruti,1,0
1541285,236522,357999,13,HUL,1,0
1860829,223041,337164,75,Infosys,1,0
520261,124656,200166,85,SBI,1,0
